epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1178.88,0.54255,0.53706,1.01543,0.89624,0.84853,0.92778,0.84271,0.36925,0.42943,0.88545,0.0091882,0.0091882,0.0091882
84,1192.71,0.54176,0.54135,1.01597,0.8687,0.80412,0.89891,0.82138,0.39326,0.45219,0.89894,0.0091783,0.0091783,0.0091783
85,1206.47,0.54061,0.54134,1.01537,0.87243,0.82798,0.89857,0.82026,0.38349,0.47352,0.88878,0.0091684,0.0091684,0.0091684
86,1220.28,0.53844,0.52984,1.01323,0.91479,0.82964,0.91406,0.83911,0.35576,0.38752,0.87563,0.0091585,0.0091585,0.0091585
87,1234.13,0.53565,0.52562,1.01404,0.90644,0.83165,0.91383,0.83516,0.33885,0.39414,0.8675,0.0091486,0.0091486,0.0091486
88,1247.98,0.5425,0.53459,1.0153,0.87284,0.86214,0.91296,0.84115,0.3555,0.3947,0.86326,0.0091387,0.0091387,0.0091387
89,1263.8,0.54395,0.53179,1.01821,0.90401,0.83863,0.92081,0.8488,0.37864,0.36229,0.87355,0.0091288,0.0091288,0.0091288
90,1285.29,0.54165,0.52743,1.0122,0.90834,0.84643,0.91554,0.84074,0.36509,0.36549,0.86539,0.0091189,0.0091189,0.0091189
91,1304.38,0.54085,0.52857,1.01636,0.88115,0.84784,0.89876,0.82932,0.35045,0.36425,0.86982,0.009109,0.009109,0.009109
92,1318.2,0.53859,0.51793,1.01787,0.87599,0.83404,0.89737,0.82167,0.36898,0.44375,0.87925,0.0090991,0.0090991,0.0090991
93,1332.01,0.53808,0.52148,1.0119,0.9282,0.80983,0.91034,0.8423,0.3841,0.38777,0.87997,0.0090892,0.0090892,0.0090892
94,1345.88,0.53665,0.52442,1.01423,0.88099,0.7974,0.87021,0.81042,0.3957,0.46329,0.9171,0.0090793,0.0090793,0.0090793
95,1359.7,0.53021,0.51829,1.0106,0.90662,0.82271,0.90115,0.83252,0.40666,0.42699,0.90705,0.0090694,0.0090694,0.0090694
96,1373.53,0.53406,0.51463,1.0089,0.87512,0.84001,0.90499,0.83494,0.43436,0.43233,0.92469,0.0090595,0.0090595,0.0090595
97,1387.35,0.53359,0.51166,1.01258,0.92312,0.83452,0.92005,0.85182,0.40887,0.41324,0.92471,0.0090496,0.0090496,0.0090496
98,1401.29,0.53342,0.51726,1.0078,0.89984,0.84687,0.91015,0.84629,0.35614,0.37344,0.86764,0.0090397,0.0090397,0.0090397
99,1415.11,0.53101,0.51134,1.01001,0.91334,0.82469,0.91798,0.84941,0.35642,0.36205,0.87813,0.0090298,0.0090298,0.0090298
100,1428.97,0.5318,0.51625,1.00774,0.90424,0.87113,0.93104,0.84855,0.36195,0.36972,0.87698,0.0090199,0.0090199,0.0090199
101,1442.86,0.53355,0.5135,1.00742,0.90196,0.82702,0.90585,0.84434,0.35242,0.43048,0.86609,0.00901,0.00901,0.00901
102,1456.66,0.52317,0.50059,1.00222,0.90482,0.83661,0.91782,0.85016,0.40232,0.38096,0.91857,0.0090001,0.0090001,0.0090001
103,1470.49,0.52703,0.50031,1.01089,0.89675,0.83531,0.91691,0.8434,0.36291,0.39128,0.86852,0.0089902,0.0089902,0.0089902
104,1484.34,0.52879,0.51429,1.00677,0.92628,0.80385,0.91053,0.83108,0.40695,0.45027,0.89018,0.0089803,0.0089803,0.0089803
105,1498.22,0.53201,0.51733,1.00947,0.90342,0.86897,0.92395,0.85011,0.42378,0.36279,0.94817,0.0089704,0.0089704,0.0089704
106,1512.13,0.53513,0.51148,1.01271,0.90364,0.85184,0.90267,0.83345,0.41802,0.40614,0.91666,0.0089605,0.0089605,0.0089605
107,1526.1,0.52813,0.50597,1.00365,0.90614,0.84603,0.91596,0.83325,0.36815,0.37229,0.88163,0.0089506,0.0089506,0.0089506
108,1540.04,0.52744,0.50654,1.00651,0.8915,0.86823,0.92373,0.85447,0.38807,0.40404,0.88156,0.0089407,0.0089407,0.0089407
109,1554,0.52595,0.50388,1.0094,0.92687,0.82716,0.90119,0.83377,0.36425,0.399,0.87469,0.0089308,0.0089308,0.0089308
110,1568,0.52985,0.50946,1.00715,0.88967,0.83748,0.91212,0.84018,0.37556,0.3863,0.88695,0.0089209,0.0089209,0.0089209
111,1581.98,0.5235,0.49172,1.00949,0.9038,0.82692,0.91482,0.84825,0.3593,0.39058,0.88241,0.008911,0.008911,0.008911
112,1595.91,0.52408,0.506,1.00487,0.91825,0.82483,0.9081,0.8403,0.36929,0.38799,0.88029,0.0089011,0.0089011,0.0089011
113,1609.71,0.52715,0.5092,1.01028,0.90926,0.86613,0.93078,0.86019,0.35392,0.38351,0.87994,0.0088912,0.0088912,0.0088912
114,1623.68,0.52482,0.49992,1.00764,0.93613,0.84793,0.93327,0.8683,0.34414,0.3485,0.85704,0.0088813,0.0088813,0.0088813
115,1637.53,0.52843,0.50093,1.00496,0.88942,0.82843,0.91385,0.8421,0.37989,0.39893,0.90155,0.0088714,0.0088714,0.0088714
116,1651.42,0.52564,0.49927,1.00779,0.93869,0.84007,0.91885,0.84279,0.40482,0.35668,0.92347,0.0088615,0.0088615,0.0088615
117,1665.25,0.53271,0.49832,1.01196,0.92579,0.84777,0.92221,0.84563,0.35951,0.38073,0.88207,0.0088516,0.0088516,0.0088516
118,1679.18,0.52075,0.48847,1.00445,0.88468,0.83344,0.91263,0.84311,0.37382,0.39208,0.90997,0.0088417,0.0088417,0.0088417
119,1693.13,0.52301,0.49198,1.00302,0.91223,0.85373,0.93043,0.85768,0.41419,0.35809,0.92732,0.0088318,0.0088318,0.0088318
