epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2079.71,1.55846,1.04855,1.08647,0.64641,0.74665,0.68356,0.36736,1.68524,1.12938,1.12342,0.00102337,0.00102337,0.00102337
80,2105.71,1.56064,1.0412,1.09141,0.65489,0.75463,0.70145,0.37708,1.66318,1.08296,1.11243,0.00101512,0.00101512,0.00101512
81,2131.64,1.55022,1.04236,1.08316,0.70063,0.67001,0.65937,0.34422,1.74735,1.17156,1.16089,0.00100687,0.00100687,0.00100687
82,2157.85,1.53247,1.03553,1.08036,0.69318,0.75681,0.67325,0.3857,1.49379,1.05038,1.06129,0.000998616,0.000998616,0.000998616
83,2183.95,1.53172,1.03756,1.07562,0.60172,0.73359,0.65139,0.36378,1.54446,1.00626,1.06864,0.000990365,0.000990365,0.000990365
84,2210.21,1.53472,1.02869,1.07249,0.72613,0.71623,0.71531,0.40964,1.49329,1.01779,1.0597,0.000982113,0.000982113,0.000982113
85,2236.11,1.52494,1.0231,1.07536,0.73013,0.77061,0.74974,0.4594,1.44903,1.02731,1.04124,0.000973861,0.000973861,0.000973861
86,2261.99,1.50686,1.00793,1.0664,0.77804,0.67599,0.73166,0.41846,1.51608,1.02611,1.06821,0.00096561,0.00096561,0.00096561
87,2288.17,1.53815,1.02467,1.07076,0.67736,0.69013,0.68416,0.39294,1.54181,1.10828,1.08347,0.000957358,0.000957358,0.000957358
88,2314.55,1.5194,1.00963,1.07213,0.64009,0.78255,0.68265,0.37006,1.53124,1.03769,1.06882,0.000949106,0.000949106,0.000949106
89,2340.88,1.51232,1.01271,1.06877,0.69389,0.73094,0.69569,0.40911,1.47105,1.01961,1.05694,0.000940855,0.000940855,0.000940855
90,2366.83,1.51135,1.01196,1.06803,0.70118,0.73867,0.70654,0.39243,1.62092,1.07254,1.10441,0.000932603,0.000932603,0.000932603
91,2393.29,1.50869,0.9933,1.06062,0.74852,0.7315,0.73851,0.44672,1.55113,1.04267,1.08585,0.000924352,0.000924352,0.000924352
92,2419.57,1.52744,1.00471,1.07205,0.71827,0.73906,0.69086,0.38873,1.59336,1.0555,1.09964,0.0009161,0.0009161,0.0009161
93,2445.53,1.49922,0.98494,1.06108,0.70709,0.73067,0.69989,0.38309,1.56319,1.06434,1.07529,0.000907848,0.000907848,0.000907848
94,2471.69,1.52763,1.01436,1.07074,0.66318,0.76481,0.71291,0.41339,1.46428,1.02179,1.05879,0.000899597,0.000899597,0.000899597
95,2497.59,1.49973,0.99096,1.07092,0.74813,0.71628,0.72939,0.42076,1.46647,1.00184,1.0496,0.000891345,0.000891345,0.000891345
96,2523.45,1.50211,0.98186,1.06355,0.67664,0.73072,0.68441,0.38235,1.6161,1.10418,1.09882,0.000883093,0.000883093,0.000883093
97,2549.58,1.483,0.97315,1.05603,0.73756,0.75249,0.7383,0.42577,1.5593,1.02004,1.08944,0.000874842,0.000874842,0.000874842
98,2575.74,1.47096,0.96763,1.05635,0.66313,0.70004,0.66969,0.39419,1.46703,1.00582,1.0519,0.00086659,0.00086659,0.00086659
99,2601.74,1.50339,0.97152,1.05962,0.71459,0.74793,0.72869,0.44563,1.53158,0.9942,1.05503,0.000858338,0.000858338,0.000858338
100,2628.12,1.48789,0.95951,1.05768,0.73223,0.68206,0.7215,0.43463,1.50887,1.01571,1.06188,0.000850087,0.000850087,0.000850087
101,2653.63,1.49331,0.98636,1.06192,0.62593,0.74593,0.6788,0.40529,1.53964,1.01018,1.06722,0.000841835,0.000841835,0.000841835
102,2679.62,1.47407,0.9698,1.05188,0.71377,0.74151,0.71374,0.44383,1.40875,0.9826,1.03008,0.000833583,0.000833583,0.000833583
103,2705.44,1.47925,0.96844,1.05361,0.70513,0.74742,0.72234,0.45272,1.43366,0.99168,1.03643,0.000825332,0.000825332,0.000825332
104,2731.37,1.46942,0.96896,1.05293,0.70734,0.71141,0.70995,0.41326,1.53383,1.0335,1.06185,0.00081708,0.00081708,0.00081708
105,2757.4,1.45744,0.95619,1.04569,0.6627,0.75627,0.71455,0.41375,1.53725,1.04787,1.07649,0.000808828,0.000808828,0.000808828
106,2783.15,1.47059,0.96851,1.05596,0.76223,0.75419,0.75058,0.46432,1.38803,0.96547,1.03042,0.000800577,0.000800577,0.000800577
107,2809.44,1.46117,0.96668,1.04771,0.75166,0.74481,0.75399,0.477,1.36996,0.94582,1.0156,0.000792325,0.000792325,0.000792325
108,2835.07,1.45844,0.95855,1.04345,0.69964,0.76215,0.72314,0.40879,1.56338,1.03465,1.08454,0.000784073,0.000784073,0.000784073
